timestamp,plate_number,vehicle_type,cross_count,reverse_count
2024-04-29 02:00:01,,other,0,3
2024-04-29 02:00:01,,bus,0,9
2024-04-29 02:00:01,320790,truck,0,0
2024-04-29 02:00:01,320790,bus,3,4
2024-04-29 02:05:01,,,0,0
2024-04-29 02:05:01,,,0,4
2024-04-29 02:30:01,6กจ2543,suv,5,5
2024-04-29 02:30:01,1มข4258,taxi,0,0
2024-04-29 02:45:01,,,0,0
2024-04-29 02:45:01,,,0,2
2024-04-29 02:50:01,,,3,0
2024-04-29 02:55:02,1มก3392,taxi,4,3
2024-04-29 02:55:02,ฎษ589,pickup,0,0
2024-04-29 03:20:01,339833,van,3,0
2024-04-29 03:20:01,339833,van,0,0
2024-04-29 03:20:01,339833,van,0,0
2024-04-29 03:20:01,339833,van,0,0
2024-04-29 03:25:01,339835,van,0,0
2024-04-29 03:25:01,339835,van,0,0
2024-04-29 03:25:01,339833,van,0,0
2024-04-29 03:25:01,339835,van,3,0
2024-04-29 04:10:01,,other,3,0
2024-04-29 04:10:01,,other,0,0
2024-04-29 04:10:01,,other,0,0
2024-04-29 04:10:01,,other,0,0
2024-04-29 04:15:01,,,3,0
2024-04-29 04:15:01,,,0,0
2024-04-29 05:45:01,11452,pickup,2,3
2024-04-29 06:25:01,,taxi,2,2
2024-04-29 06:25:01,,taxi,0,2
2024-04-29 06:40:01,315234,van,3,0
2024-04-29 06:45:01,315234,bus,7,4
2024-04-29 06:45:01,315234,bus,0,0
2024-04-29 06:50:01,,van,0,0
2024-04-29 06:55:01,,van,0,0
2024-04-29 07:10:01,344878,motorbike,2,0
2024-04-29 07:10:01,344878,motorbike,0,0
2024-04-29 07:10:01,333915,van,0,0
2024-04-29 07:10:01,339915,van,0,0
2024-04-29 07:15:01,333915,van,0,0
2024-04-29 07:15:01,339915,van,3,0
2024-04-29 07:15:01,339915,van,0,0
2024-04-29 07:15:01,339915,van,0,0
2024-04-29 07:20:02,,,0,0
2024-04-29 07:20:02,,,0,0
2024-04-29 07:20:02,,,0,0
2024-04-29 07:20:02,,,2,0
2024-04-29 07:20:02,,,0,0
2024-04-29 07:25:01,333915,van,0,0
2024-04-29 07:25:01,339915,van,0,0
2024-04-29 07:25:01,333915,van,2,0
2024-04-29 07:25:01,339915,van,0,0
2024-04-29 07:30:01,339915,van,0,0
2024-04-29 07:30:01,339915,pickup,0,0
2024-04-29 07:30:01,339915,pickup,0,0
2024-04-29 07:30:01,339915,van,0,0
2024-04-29 07:30:01,339915,van,0,7
2024-04-29 07:40:01,333915,suv,0,0
2024-04-29 07:40:01,317134,van,0,0
2024-04-29 07:40:01,317134,van,0,0
2024-04-29 07:40:01,,truck,2,7
2024-04-29 07:40:01,1มก3812,taxi,0,0
2024-04-29 07:45:01,1นก355,van,2,0
2024-04-29 07:45:01,สก323,tuktuk,0,0
2024-04-29 07:50:01,1นง400,van,0,0
2024-04-29 07:55:01,1นง400,van,0,0
2024-04-29 07:55:01,1นง400,van,0,0
2024-04-29 07:55:01,1นง400,van,3,0
2024-04-29 08:00:00,,,0,2
2024-04-29 08:00:00,,,0,0
2024-04-29 08:00:00,,,0,0
2024-04-29 08:00:00,,,0,0
2024-04-29 08:10:01,1นง400,van,0,0
2024-04-29 08:10:01,1นง400,van,0,0
2024-04-29 08:10:01,7ธ2711,van,0,0
2024-04-29 08:10:01,,van,0,0
2024-04-29 08:10:01,,van,6,0
2024-04-29 08:15:01,,pickup,0,2
2024-04-29 08:25:00,343774,pickup,3,0
2024-04-29 08:25:00,343774,pickup,0,0
2024-04-29 08:25:00,343774,pickup,2,2
2024-04-29 08:25:00,343774,pickup,6,0
2024-04-29 08:30:01,343774,pickup,0,0
2024-04-29 08:30:01,343774,pickup,2,0
2024-04-29 08:30:01,343774,pickup,0,3
2024-04-29 08:30:01,343774,pickup,0,0
2024-04-29 08:35:01,343774,pickup,0,0
2024-04-29 08:55:01,344992,other,0,0
2024-04-29 08:55:01,1นง400,van,0,0
2024-04-29 08:55:01,1นง400,pickup,0,0
2024-04-29 08:55:01,นนง400,van,2,2
2024-04-29 08:55:01,1นง400,pickup,0,0
2024-04-29 09:00:01,1นง400,van,0,5
2024-04-29 09:05:01,,van,2,5
2024-04-29 09:10:01,ณบ2076,suv,2,0
2024-04-29 09:10:01,ฮย8524,pickup,0,0
2024-04-29 09:15:01,,pickup,0,0
2024-04-29 09:15:01,ฮย8524,pickup,0,0
2024-04-29 09:15:01,ฮย8524,van,0,3
2024-04-29 09:15:01,,pickup,0,0
2024-04-29 09:15:01,,pickup,9,0
2024-04-29 09:15:01,ฮย8524,pickup,0,6
2024-04-29 09:15:01,,pickup,0,0
2024-04-29 09:15:01,ฮย8524,van,0,2
2024-04-29 09:40:01,319438,suv,2,0
2024-04-29 09:40:01,,suv,0,0
2024-04-29 09:40:01,319438,suv,3,2
2024-04-29 09:45:02,1นจ6479,pickup,0,0
2024-04-29 09:45:02,1นจ6479,pickup,0,0
2024-04-29 09:45:02,1นจ6479,pickup,0,0
2024-04-29 09:55:01,1นจ6479,van,0,3
2024-04-29 10:15:01,,motorbike,5,2
2024-04-29 10:15:01,,motorbike,0,0
2024-04-29 10:15:01,339050,bus,0,0
2024-04-29 10:15:01,,motorbike,36,4
2024-04-29 10:20:01,339050,bus,2,0
2024-04-29 10:20:01,339050,bus,0,3
2024-04-29 10:20:01,339050,other,0,0
2024-04-29 10:20:01,339050,other,10,0
2024-04-29 10:30:01,3ฎ1111,taxi,5,3
2024-04-29 10:30:01,มฎ111,taxi,0,0
2024-04-29 10:35:01,มฎ111,taxi,0,0
2024-04-29 10:40:01,,truck,33,0
2024-04-29 10:40:01,,truck,0,0
2024-04-29 10:40:01,,truck,0,0
2024-04-29 10:40:01,,truck,3,3
2024-04-29 10:50:01,,sedan,2,2
2024-04-29 10:50:01,,bus,0,0
2024-04-29 10:50:01,1นค8151,pickup,0,0
2024-04-29 10:50:01,1นค8151,pickup,0,0
2024-04-29 10:50:01,1นค8151,pickup,0,0
2024-04-29 10:55:02,1นค8151,pickup,0,0
2024-04-29 10:55:02,1นค8151,sedan,0,0
2024-04-29 10:55:02,1นค8151,pickup,0,2
2024-04-29 10:55:02,1นค8151,pickup,0,0
2024-04-29 11:00:01,1นค8151,van,4,0
2024-04-29 11:00:01,1นค8151,pickup,0,0
2024-04-29 11:00:01,1นค8151,pickup,4,0
2024-04-29 11:00:01,1นค8151,pickup,0,0
2024-04-29 11:05:01,1นค8151,pickup,0,0
2024-04-29 11:10:01,1นค8151,sedan,0,0
2024-04-29 11:10:01,1นค8151,pickup,2,0
2024-04-29 11:10:01,กก2531,motorbike,0,0
2024-04-29 11:10:01,1นค8151,pickup,4,0
2024-04-29 11:10:01,1นค8151,van,0,0
2024-04-29 11:10:01,1นค8151,van,0,0
2024-04-29 11:15:01,1นค8151,pickup,0,0
2024-04-29 11:15:01,1นค8151,pickup,0,0
2024-04-29 11:15:01,1นค8151,pickup,0,0
2024-04-29 11:15:01,1นค8151,pickup,0,0
2024-04-29 11:20:01,1นค8151,van,3,0
2024-04-29 11:20:01,1นค8151,pickup,2,0
2024-04-29 11:35:01,1มก9013,taxi,0,0
2024-04-29 11:40:01,1มก9013,taxi,0,0
2024-04-29 13:05:01,333115,pickup,0,0
2024-04-29 13:10:02,333115,other,8,0
2024-04-29 13:25:01,,sedan,0,2
2024-04-29 13:40:01,,suv,3,0
2024-04-29 13:55:01,3ฉ387,pickup,2,18
2024-04-29 13:55:01,,sedan,4,3
2024-04-29 13:55:01,,suv,0,0
2024-04-29 14:00:01,,suv,0,3
2024-04-29 14:00:01,,sedan,0,0
2024-04-29 14:00:01,,sedan,0,0
2024-04-29 14:00:01,,sedan,0,0
2024-04-29 14:05:01,,sedan,2,0
2024-04-29 14:45:01,,truck,0,3
2024-04-29 14:50:01,,taxi,0,0
2024-04-29 15:10:01,,motorbike,3,2
2024-04-29 15:25:01,,motorbike,2,0
2024-04-29 16:45:01,,sedan,0,0
2024-04-29 16:45:01,,taxi,0,0
2024-04-29 16:50:01,,van,0,0
2024-04-29 16:50:01,,van,0,0
2024-04-29 16:50:01,,taxi,0,0
2024-04-29 16:55:01,,taxi,0,0
2024-04-29 16:55:01,,taxi,0,0
2024-04-29 16:55:01,,taxi,0,0
2024-04-29 16:55:01,,taxi,0,0
2024-04-29 16:55:01,,pickup,0,0
2024-04-29 02:00:01,,bus,0,0
2024-04-29 02:00:01,,motorbike,0,0
2024-04-29 02:00:01,,bus,0,0
2024-04-29 02:00:01,,bus,0,0
2024-04-29 02:00:01,,bus,0,0
2024-04-29 02:05:01,,bus,0,0
2024-04-29 02:05:01,,bus,0,4
2024-04-29 02:30:01,,hatchback,5,0
2024-04-29 02:45:01,,hatchback,0,0
2024-04-29 02:55:02,,motorbike,0,2
2024-04-29 02:55:02,,suv,5,0
2024-04-29 03:15:01,339833,pickup,7,6
2024-04-29 03:15:01,339833,pickup,0,0
2024-04-29 03:15:01,339833,pickup,0,0
