timestamp,plate_number,vehicle_type,cross_count,reverse_count
2024-04-29 02:05:01,กก4435,pickup,0,0
2024-04-29 02:10:01,1กท9770,suv,0,0
2024-04-29 02:20:01,,,0,0
2024-04-29 02:25:01,6กจ2543,suv,2,1
2024-04-29 02:30:01,1มข4258,taxi,0,0
2024-04-29 02:30:01,ทก7425,pickup,0,0
2024-04-29 02:30:01,ทห4000,pickup,0,0
2024-04-29 02:35:01,1มค3722,taxi,0,0
2024-04-29 02:35:01,14570,tuktuk,0,0
2024-04-29 02:40:01,สก4353,motorbike,0,0
2024-04-29 02:45:01,2กช2606,sedan,1,0
2024-04-29 02:45:01,ทฬ1862,taxi,1,2
2024-04-29 02:50:01,,,0,0
2024-04-29 02:50:01,,,0,0
2024-04-29 02:55:02,1มก3392,taxi,3,0
2024-04-29 02:55:02,1กล890,sedan,1,0
2024-04-29 02:55:02,1ฒต9585,bus,0,0
2024-04-29 02:55:02,,suv,0,0
2024-04-29 03:05:01,1ฒว41,other,0,0
2024-04-29 03:05:01,1มฆ1193,taxi,0,2
2024-04-29 03:05:01,ทห5937,sedan,0,0
2024-04-29 03:15:01,มฎ2288,taxi,1,0
2024-04-29 03:15:01,ทก6451,pickup,0,0
2024-04-29 03:15:01,ฎว5007,pickup,0,0
2024-04-29 03:20:01,339833,pickup,1,0
2024-04-29 03:50:01,,,0,0
2024-04-29 03:55:01,ทท199,taxi,0,0
2024-04-29 04:10:01,,,0,0
2024-04-29 04:40:01,,,0,0
2024-04-29 05:45:01,1ขว6452,pickup,0,0
2024-04-29 05:55:01,321105,sedan,0,0
2024-04-29 06:25:01,1กฌ9117,pickup,0,0
2024-04-29 06:25:01,1มค8292,taxi,2,0
2024-04-29 06:30:01,1นง400,pickup,0,1
2024-04-29 06:30:01,,other,0,0
2024-04-29 06:40:01,325167,pickup,16,4
2024-04-29 06:40:01,315234,bus,0,0
2024-04-29 06:45:01,สก5815,other,0,0
2024-04-29 06:50:01,,bus,0,0
2024-04-29 07:00:01,,motorbike,0,0
2024-04-29 07:10:01,สก5815,tuktuk,0,0
2024-04-29 07:10:01,3ง4078,bus,1,0
2024-04-29 07:10:01,333915,van,0,0
2024-04-29 07:40:01,317194,van,0,1
2024-04-29 07:40:01,,bus,0,0
2024-04-29 07:40:01,1มก3812,taxi,0,0
2024-04-29 07:45:01,1นก355,van,1,3
2024-04-29 07:45:01,สก323,tuktuk,0,0
2024-04-29 07:50:01,ก7758,van,0,0
2024-04-29 07:50:01,320434,van,0,0
2024-04-29 07:50:01,300795,tuktuk,0,0
2024-04-29 07:50:01,1นง400,van,0,0
2024-04-29 08:30:01,340223,pickup,6,0
2024-04-29 08:35:01,1มค5517,taxi,0,0
2024-04-29 08:40:01,,pickup,0,0
2024-04-29 08:40:01,สก2764,motorbike,0,0
2024-04-29 08:40:01,ฮน8403,van,6,2
2024-04-29 08:45:01,มช8262,taxi,0,0
2024-04-29 08:45:01,9กก6993,sedan,1,0
2024-04-29 08:55:01,,,2,7
2024-04-29 09:00:01,,motorbike,0,0
2024-04-29 09:00:01,1ขบ2908,sedan,3,0
2024-04-29 09:00:01,1มก1535,taxi,1,0
2024-04-29 09:00:01,5กช8358,sedan,1,1
2024-04-29 09:05:01,ณข2885,pickup,1,0
2024-04-29 09:10:01,,truck,0,1
2024-04-29 09:10:01,3ง5518,tuktuk,1,0
2024-04-29 09:10:01,ฮบ8524,van,1,1
2024-04-29 09:25:01,,truck,1,0
2024-04-29 09:25:01,,pickup,0,0
2024-04-29 09:25:01,32222,truck,0,0
2024-04-29 09:25:01,2ฒฎ3772,pickup,0,0
2024-04-29 09:30:01,กย5057,pickup,1,0
2024-04-29 09:40:01,1กศ4341,sedan,1,0
2024-04-29 09:40:01,30620,sedan,0,0
2024-04-29 09:45:02,1นจ6479,pickup,0,0
2024-04-29 10:00:01,สก842,tuktuk,1,0
2024-04-29 10:10:01,ส2873,truck,0,0
2024-04-29 10:15:01,ม1130,pickup,0,0
2024-04-29 10:15:01,,tuktuk,1,0
2024-04-29 10:20:01,,pickup,8,2
2024-04-29 10:20:01,1ก975,motorbike,0,0
2024-04-29 10:25:01,1มก2143,taxi,0,0
2024-04-29 10:30:01,1000,motorbike,0,0
2024-04-29 10:40:01,,truck,0,0
2024-04-29 10:40:01,1ขน6884,sedan,1,1
2024-04-29 10:40:01,กต8158,sedan,2,0
2024-04-29 10:40:01,127,motorbike,0,0
2024-04-29 10:45:01,ขฟ7754,sedan,0,1
2024-04-29 10:45:01,9กพ2844,sedan,3,0
2024-04-29 10:50:01,,sedan,0,0
2024-04-29 10:50:01,1นค8151,van,0,1
2024-04-29 11:25:01,กก4100,hatchback,1,2
2024-04-29 11:35:01,บบ581,tuktuk,0,0
2024-04-29 11:35:01,1มก9013,taxi,0,1
2024-04-29 11:40:01,,pickup,0,1
2024-04-29 11:40:01,ส025,tuktuk,0,3
2024-04-29 11:40:01,,truck,0,0
2024-04-29 12:25:01,,other,7,8
2024-04-29 12:25:01,,sedan,0,0
2024-04-29 12:30:01,,pickup,1,0
