timestamp,plate_number,vehicle_type,cross_count,reverse_count
2024-04-28 02:00:01,338965,van,0,0
2024-04-28 02:00:01,338868,van,0,0
2024-04-28 02:00:01,338888,van,0,0
2024-04-28 02:00:01,338264,van,0,0
2024-04-28 02:05:01,338861,pickup,0,0
2024-04-28 02:05:01,338458,pickup,4,2
2024-04-28 02:30:01,ฎ722,bus,0,0
2024-04-28 02:35:01,2723,other,0,0
2024-04-28 02:35:01,ก722,other,0,0
2024-04-28 02:40:01,2723,other,0,0
2024-04-28 02:45:01,321722,bus,0,0
2024-04-28 02:50:01,321572,truck,0,0
2024-04-28 02:50:01,321572,bus,0,0
2024-04-28 03:10:01,1มฆ1551,taxi,0,0
2024-04-28 03:10:01,1มฆ1551,taxi,0,0
2024-04-28 03:10:01,1มฆ1551,taxi,3,7
2024-04-28 03:10:01,1มฆ1551,taxi,0,0
2024-04-28 03:55:02,7กฆ3336,sedan,0,0
2024-04-28 03:55:02,7กฆ3336,sedan,0,0
2024-04-28 04:40:01,ทห2415,taxi,2,3
2024-04-28 04:40:01,360238,pickup,2,0
2024-04-28 05:00:01,343555,bus,3,2
2024-04-28 05:00:01,323555,bus,0,0
2024-04-28 05:05:01,343655,bus,0,0
2024-04-28 05:05:01,343655,bus,3,0
2024-04-28 05:05:01,343539,bus,0,0
2024-04-28 05:05:01,ม43555,bus,0,0
2024-04-28 05:05:01,343555,bus,0,0
2024-04-28 05:10:01,343655,van,2,0
2024-04-28 05:10:01,343559,van,0,0
2024-04-28 05:10:01,343655,bus,0,0
2024-04-28 05:10:01,343555,bus,0,0
2024-04-28 05:15:01,343659,bus,0,0
2024-04-28 05:15:01,343655,bus,0,0
2024-04-28 05:15:01,343553,bus,2,11
2024-04-28 05:15:01,343559,bus,0,0
2024-04-28 05:15:01,343639,bus,3,0
2024-04-28 05:25:01,323835,bus,0,0
2024-04-28 05:25:01,323855,bus,4,0
2024-04-28 05:25:01,343659,bus,0,0
2024-04-28 05:25:01,343553,bus,7,0
2024-04-28 05:25:01,343533,bus,0,0
2024-04-28 05:30:01,323835,van,0,0
2024-04-28 05:30:01,343653,bus,0,0
2024-04-28 05:30:01,343633,pickup,0,0
2024-04-28 05:30:01,343558,van,0,0
2024-04-28 05:35:01,343558,pickup,0,2
2024-04-28 05:35:01,343555,van,6,0
2024-04-28 05:35:01,343633,van,0,3
2024-04-28 05:35:01,343633,van,0,0
2024-04-28 05:45:01,321722,motorbike,0,0
2024-04-28 05:45:01,321722,motorbike,3,13
2024-04-28 05:45:01,321722,truck,2,0
2024-04-28 05:45:01,321722,motorbike,0,0
2024-04-28 05:45:01,321722,motorbike,2,20
2024-04-28 06:05:01,7กฐ7375,pickup,7,0
2024-04-28 06:10:01,4ขภ5400,pickup,0,0
2024-04-28 06:15:01,1มก2540,taxi,7,3
2024-04-28 06:15:01,1มก2540,taxi,7,0
2024-04-28 06:25:01,ฌท9930,pickup,2,0
2024-04-28 06:25:01,1นง9830,pickup,0,0
2024-04-28 06:25:01,1นง9830,van,0,0
2024-04-28 06:30:01,1นง9830,van,5,0
2024-04-28 06:30:01,1นง9830,van,0,0
2024-04-28 06:30:01,ขย080,suv,0,5
2024-04-28 06:30:01,344992,other,0,0
2024-04-28 06:35:01,343108,pickup,0,2
2024-04-28 06:35:01,343108,bus,0,0
2024-04-28 06:35:01,343108,bus,0,0
2024-04-28 07:00:01,สก1568,tuktuk,0,0
2024-04-28 07:15:01,341697,bus,0,7
2024-04-28 07:15:01,321897,van,0,0
2024-04-28 07:25:01,สก2765,tuktuk,0,0
2024-04-28 07:25:01,ฮย8038,van,0,0
2024-04-28 07:25:01,ฮบ8038,van,0,0
2024-04-28 07:25:01,338419,bus,2,21
2024-04-28 07:40:01,สก1568,tuktuk,5,2
2024-04-28 07:50:01,343774,pickup,0,0
2024-04-28 07:55:01,343774,pickup,0,0
2024-04-28 07:55:01,320211,van,0,0
2024-04-28 08:00:01,320211,van,0,0
2024-04-28 08:00:01,320211,van,0,0
2024-04-28 08:10:01,3060,pickup,0,0
2024-04-28 08:20:01,นข3355,pickup,2,2
2024-04-28 08:20:01,337457,truck,0,0
2024-04-28 08:25:01,330178,motorbike,0,0
2024-04-28 08:25:01,330178,motorbike,0,0
2024-04-28 08:25:01,330178,motorbike,0,0
2024-04-28 08:25:01,333548,van,2,0
2024-04-28 08:30:01,333548,van,2,5
2024-04-28 08:30:01,333548,van,0,0
2024-04-28 08:30:01,333548,van,0,0
2024-04-28 08:30:01,333548,van,0,0
2024-04-28 08:35:01,333548,van,0,0
